job_title,job_n,document
"lead pharmacist-cd governance, prisons and police custody",1,KIND_446
lead prescribing intelligence analyst,10,KIND_449
lead r&d facilitator,5,KIND_450
learning & development facilitator/team supervisor,2,KIND_451
learning & development manager,1,KIND_452
learning and development facilitator,3,KIND_453
learning and development manager,7,KIND_454
learning and development manager (digital learning),3,KIND_455
learning and development manger (digital learning),1,KIND_456
lecturer and phd student,2,KIND_457
liaison/clinical librarian,1,KIND_458
librarian,30,KIND_459
library assistant,9,KIND_460
library assistant/ theatre receptionist,1,KIND_461
library manager,3,KIND_462
library manager (north),1,KIND_464
library manager (south),4,KIND_465
library manager - south,1,KIND_463
library services co-ordinator,2,KIND_466
library services manager,4,KIND_467
library services manager (subject specia,4,KIND_469
library services manager - decision support,1,KIND_468
m365 team,1,KIND_470
macmillan programme lead,3,KIND_471
management information analyst,1,KIND_472
management information officer,5,KIND_473
manager - p&cr,3,KIND_474
manager clinical technical services - pharmacologistics,3,KIND_475
manager project lift,1,KIND_476
marketing manager,5,KIND_477
medical illustrator,2,KIND_478
medical statisitician,2,KIND_479
medical statistician,2,KIND_480
miss,1,KIND_481
mr,3,KIND_482
msc responsible data science student,3,KIND_483
msk physiotherapist,2,KIND_484
national cardiac audit coordinator,1,KIND_485
national clinical audit coordinator,3,KIND_486
national clinical coordinator,7,KIND_487
"national data lead, connect me programme",1,KIND_488
national vc manager,1,KIND_489
near me project manager,3,KIND_490
near me project support manager,1,KIND_491
nhs grampian,1,KIND_492
nhs librarian,1,KIND_493
nos psc/hepma ehealth service manager,3,KIND_494
nss manager,1,KIND_495
nurse,1,KIND_496
occupational therapist,8,KIND_497
od and learning,1,KIND_498
od and learning advisor,1,KIND_499
od officer,2,KIND_500
ol chronic conditions,3,KIND_501
operational support supervisor,2,KIND_502
operations manager,1,KIND_503
oral health eduactor,3,KIND_504
oral health educator,1,KIND_505
organisational development and learning advisor,1,KIND_506
organisational development coordinator,1,KIND_507
organisational lead,4,KIND_508
organisational lead for publishing,2,KIND_509
organisational lead for publishing services,1,KIND_510
organisational lead for vaccination evaluation,1,KIND_511
organisational lead for vaccine evaluation,1,KIND_512
outcomes development and information manager,1,KIND_513
p&p project support officer,2,KIND_514
paediatrc practice development physiotherapist,1,KIND_515
paediatric dietitian,1,KIND_516
partnership assurance lead,6,KIND_517
partnership training officer,2,KIND_518
patient experience & public involvement,1,KIND_519
patient experience & public involvement manager,1,KIND_520
payroll manager,2,KIND_521
pef,4,KIND_522
people insight & systems delivery manager,1,KIND_523
performance & analaytics lead,3,KIND_524
performance & analytics lead,1,KIND_525
performance & information officer,1,KIND_526
performance & intelligence analyst,2,KIND_527
performance & quality manager,3,KIND_528
performance and analytics lead,5,KIND_529
performance and intelligence analyst,15,KIND_530
performance and intelligence manager,4,KIND_531
performance and systems development assistant,1,KIND_532
performance manager,3,KIND_533
performance officer,1,KIND_534
performance planning manager,1,KIND_535
performance support officer,2,KIND_536
performance systems officer,1,KIND_537
permanence consultant improvement advisor,1,KIND_538
personal secretary,3,KIND_539
ph intelligence advisor,1,KIND_540
ph intelligence manager,1,KIND_541
pharmacist,1,KIND_542
pharmacy data analyst,3,KIND_543
pharmacy data support officer,4,KIND_544
pharmacy stock control manager,6,KIND_545
pharmacy systems analyst,2,KIND_546
phi manager,1,KIND_547
physiotherapist,2,KIND_548
pidm,2,KIND_549
planning & performance co-ordinator,1,KIND_550
planning & performance officer,4,KIND_551
planning and development manager,2,KIND_552
"planning and performance analyst, strategy and transformation team",1,KIND_553
planning and performance manager,3,KIND_554
"planning, performance and projects officer",4,KIND_555
podiatry a&c team lead,4,KIND_556
podiatry business manager,1,KIND_557
policy & research officer,2,KIND_558
policy and development officer,4,KIND_559
policy officer,1,KIND_560
population health project manager,4,KIND_561
power bi analyst,3,KIND_562
practice development lead,2,KIND_563
practice development physiotherapist,4,KIND_564
practice education facilitater,3,KIND_565
practice education facilitator,5,KIND_566
practice education lead,1,KIND_567
practice educator,5,KIND_568
practice educator (pcc) - nmahp,3,KIND_571
practice educator - nmahp,3,KIND_569
practice educator - pharmacy,1,KIND_570
practice educator nmahp,1,KIND_572
practice manager,7,KIND_573
prescribing & information analyst,3,KIND_574
prescribing and information analyst,3,KIND_575
prescribing intelligence analyst,6,KIND_576
prescribing support pharmacist,3,KIND_577
primary care development,1,KIND_578
primary care mental health team lead,3,KIND_579
principal analyst,11,KIND_580
principal analyst health intelligence - community,3,KIND_581
principal educator,2,KIND_582
principal educator - camhs,4,KIND_583
principal educator mhldd nmahp,1,KIND_584
principal epidemiologist,1,KIND_585
principal hcs,2,KIND_586
principal information analyst,118,KIND_587
"principal information analyst, primary care improvement team",3,KIND_588
principal information development manager,19,KIND_589
principal infromation development manager,1,KIND_590
principal lead,2,KIND_591
principal lead - digital,4,KIND_592
principal lead - digitally enabled workforce,1,KIND_593
principal lead - organisational & leadership development,1,KIND_594
principal lead - p&fm,1,KIND_595
principal management information analyst,1,KIND_596
principal ph information analyst,1,KIND_597
principal public health information analyst,4,KIND_598
principal radiotherapy physicist,3,KIND_599
principal researcher,1,KIND_600
principal trial manager,3,KIND_601
principle analyst,1,KIND_602
principle information analyst,4,KIND_603
principle radiotherapy physicist,1,KIND_604
prinicipal lead,1,KIND_605
priniciple analyst,1,KIND_606
programme director,1,KIND_607
programme lead,15,KIND_608
programme lead - ruc,1,KIND_609
programme lead digitally enabled workforce,3,KIND_611
programme lead â€“ redesign of urgent care,1,KIND_610
"programme lead, knowledge and decision support",1,KIND_612
programme manager,13,KIND_613
programme manager - clinical audit,1,KIND_614
programme portfolio manager,8,KIND_615
programme support officer,9,KIND_616
project & service improvement manager,3,KIND_617
project and system assistant,1,KIND_618
project assistant - mental health information station,1,KIND_619
project co-ordinator,3,KIND_620
project lead,1,KIND_621
project manager,29,KIND_622
project manager primary care improvement planning,3,KIND_623
project officer,25,KIND_624
project officer (business intelligence),1,KIND_625
project officer/junior information analyst,1,KIND_626
project offices (business intelligence),1,KIND_627
project support officer,12,KIND_628
projects officer,3,KIND_629
public health adviser,1,KIND_630
public health advisor,1,KIND_631
public health analyst,3,KIND_632
public health consultant,1,KIND_633
public health data admin,1,KIND_634
public health improvement  lead,1,KIND_635
public health improvement lead,1,KIND_636
public health information analyst,7,KIND_637
public health information data analyst,3,KIND_638
public health intelligence,1,KIND_639
public health intelligence administrator,4,KIND_640
public health intelligence adviser,20,KIND_641
public health intelligence advisor,5,KIND_642
public health intelligence analyst,10,KIND_643
public health intelligence analyst specialist,3,KIND_644
public health intelligence assistant,1,KIND_645
public health intelligence manager,11,KIND_646
public health intelligence officer,15,KIND_647
public health intelligence principal,3,KIND_648
public health intelligence specialist,7,KIND_649
public health intelligence team manager,3,KIND_650
public health librarian,25,KIND_651
public health officer,9,KIND_652
public health programme manager,10,KIND_653
public health registrar,1,KIND_654
public health researcher,18,KIND_655
public health senior intelligence analyst,1,KIND_656
public health: adp co-ordinator,1,KIND_657
public health: public health practitioner,1,KIND_658
"public protection ,mental health and learning disabilities administrator",1,KIND_659
public protection admin,2,KIND_660
public protection administrator,1,KIND_661
publications & information specialist ou,3,KIND_662
publications manager,1,KIND_663
qlik development support officer,1,KIND_664
quality assurance manager,3,KIND_665
quality improvement advisor,3,KIND_666
quality improvement advisor (caring for ayrshire),1,KIND_667
quality improvement and evaluation lead,1,KIND_668
quality manager,1,KIND_669
quality programme manager,6,KIND_670
real time analyst,6,KIND_672
real-time analyst,1,KIND_671
referral management service manager,4,KIND_673
regional information manager/senior analyst,1,KIND_674
rehabilitation nurse specialist,1,KIND_675
renal practice educator,2,KIND_676
reseach coordinator (sidm),3,KIND_677
research & development manager,1,KIND_678
research & intelligence specialist,2,KIND_679
research and intelligence specialist,3,KIND_680
research assistant,1,KIND_681
research associate,4,KIND_682
research coder,3,KIND_683
research coordinator,5,KIND_684
research fellow / deputy director,1,KIND_685
resesarcher,1,KIND_686
ris/pacs manager,1,KIND_687
rn,1,KIND_688
rostering systems manager,2,KIND_689
rotational pharmacist,4,KIND_690
ruc programme lead,3,KIND_691
sapg health service researcher,2,KIND_692
scotphn team coordinator,2,KIND_693
secretary,1,KIND_694
sen info dev manager,1,KIND_695
senior administration assistant,3,KIND_696
senior analyst,34,KIND_697
senior analyst (prescribing),3,KIND_703
senior analyst - digital,7,KIND_698
senior analyst - health intelligence,1,KIND_699
senior analyst - learn,2,KIND_700
senior analyst - nes technology service,2,KIND_701
senior analyst - systems development,3,KIND_702
senior analyst cross system performance,3,KIND_704
senior analyst: cross system performance,1,KIND_705
senior business support assistant,1,KIND_706
senior cancer information officer,2,KIND_707
senior cancer intelligence analyst,3,KIND_708
senior contact tracer,1,KIND_709
senior data analyst,5,KIND_710
senior data analyst - test & protect,3,KIND_711
senior data co-ordinator,3,KIND_712
senior educator,10,KIND_713
senior educator (pharmacy education coordinator),2,KIND_715
senior educator - nmahp,4,KIND_714
senior health economist,5,KIND_716
senior health improvement officer,11,KIND_717
senior health improvement officer (inequalities),2,KIND_718
senior health improvement programme officer,2,KIND_719
senior health information scientist,3,KIND_720
senior health intelligence analyst,13,KIND_721
senior health intelligence officer,2,KIND_722
"senior health intelligence specialist, public health",2,KIND_723
senior health promotion officer,1,KIND_724
senior health promotion specialist,1,KIND_725
senior hr advisor,3,KIND_726
senior improvement educator,1,KIND_727
senior info analyst,2,KIND_728
senior info development manager,1,KIND_729
senior informaiton analyst,1,KIND_730
senior information analyst,347,KIND_731
senior information analyst - nmahp,4,KIND_732
senior information analysts,3,KIND_733
senior information and research analyst,3,KIND_734
senior information business analyst,1,KIND_735
senior information development manager,27,KIND_736
senior information manager,1,KIND_737
senior intelligence analyst,1,KIND_738
senior knowledge services assistant,3,KIND_739
senior library assistant,4,KIND_740
senior nurse,2,KIND_741
senior officer,13,KIND_742
senior performance officer,3,KIND_743
senior pharmacist,1,KIND_744
senior planning and performance development officer,1,KIND_745
senior project manager,7,KIND_746
"senior project manager, digital leadership & skills",1,KIND_747
senior public health analyst,1,KIND_748
senior public health information analyst,5,KIND_749
senior public health intelligence officer,16,KIND_750
senior public health intelligence specialist,6,KIND_751
senior public health officer,5,KIND_752
senior public health scientist,7,KIND_753
senior public intelligence analyst (population health),1,KIND_754
senior sheltered housing officer,2,KIND_755
senior social care worker,2,KIND_756
senior specialist analyst,2,KIND_757
senior specialist lead - information governance,3,KIND_758
senior specialist lead - optometry,1,KIND_759
"senior specialist lead, information governance",6,KIND_760
senior statistician,1,KIND_761
senior system specialist,3,KIND_762
senior trial co-ordinator,1,KIND_763
senior workforce analyst,1,KIND_764
service designer,1,KIND_765
service improvement manager,4,KIND_766
service lead,8,KIND_767
"service lead, community dietetic services",3,KIND_768
service manager,22,KIND_769
service manager - analytical services,1,KIND_770
service manager - learning and development,1,KIND_771
service manager -learning and development,1,KIND_772
service manager later living,1,KIND_773
service planning analyst,3,KIND_774
service support manager,2,KIND_775
sexual health consultant and clinical director ehealth,2,KIND_776
sidm,9,KIND_777
smart supports co-ordinator,1,KIND_778
snr information analyst,12,KIND_779
social research analyst,3,KIND_780
social researcher,4,KIND_781
software developer,1,KIND_782
software systems designer,2,KIND_783
specialist analyst,3,KIND_784
specialist analyst - digital,7,KIND_785
specialist biomedical scientist,1,KIND_786
specialist developer,1,KIND_787
specialist educator,3,KIND_788
specialist educator qi,1,KIND_789
specialist lead,9,KIND_790
specialist lead (employability & career development) - recruiting and supporting graduate data interns,1,KIND_794
specialist lead (gpn cpd) - medical,3,KIND_795
specialist lead - digital,4,KIND_791
specialist lead - map,1,KIND_792
specialist lead - organisational & leadership development,2,KIND_793
specialist lead digital health and care,2,KIND_796
specialist physiotherapist,4,KIND_797
specialist registrar in public health,2,KIND_798
specialist research lead,2,KIND_799
specialist research lead - nmahp,2,KIND_801
specialist research lead - p&cr,1,KIND_802
specialist research lead- nmahp,1,KIND_800
specialist software developer,1,KIND_803
specialist speech & language therapist,2,KIND_804
specialist speech and language therapist,1,KIND_805
specialist subject librarian,1,KIND_806
specialist workforce planning adviser,1,KIND_807
st7,1,KIND_808
staff development co-ordinator,1,KIND_809
staff development manager,3,KIND_810
staff nurse,6,KIND_811
statistician,3,KIND_812
str,2,KIND_813
strategic delivery lead (ruc),2,KIND_814
strategic planning and commissioning manager,3,KIND_815
strategic programme manager,4,KIND_816
subject specialist librarian,6,KIND_817
system support analyst,3,KIND_818
system support office 365,1,KIND_819
system support officer,2,KIND_820
system support officer 365,1,KIND_821
system support specialist,1,KIND_822
systems,3,KIND_823
"systems administrator, social work administration & business support",2,KIND_824
systems librarian,6,KIND_825
talent and culture manager,1,KIND_826
team lead immunation delivery ggc,1,KIND_827
team lead immunisation delivery,1,KIND_828
team lead physiotherapist (digital and informatics lead),1,KIND_829
"team lead physiotherapist, digital and informatics lead elrs",3,KIND_830
team manager,1,KIND_831
tec assistant,1,KIND_832
tec telecare team lead,1,KIND_833
tec(h) lead,1,KIND_834
technical architect,3,KIND_835
technical co-ordinator,1,KIND_836
technical manager - glasgow north,1,KIND_837
technical services pharmacist,1,KIND_838
technology and digital innovation lead,3,KIND_839
technology enabled care community connector,1,KIND_840
technology enabled care development officer,1,KIND_841
telecare team lead,1,KIND_842
tenancy sustainment and support manager,1,KIND_843
terminology services manager,1,KIND_844
theatre utilisation data coordinator,1,KIND_845
thinking differently coordinator,1,KIND_846
tissue viability nurse for care homes,1,KIND_847
tl,2,KIND_848
tobacco control project manager,1,KIND_849
tobacco/prevention cessation officer,2,KIND_850
trainee clinical scientist,2,KIND_851
transformation programme lead,3,KIND_852
united kingdom,33,KIND_853
user support librarian,6,KIND_854
ux researcher,2,KIND_855
vaccination planning & performance co-ordinator,2,KIND_856
vaccination system specialist,1,KIND_857
vaccination systems specialist,6,KIND_858
vaccinations planning & performance co-ordinator,1,KIND_859
volunteer,3,KIND_860
web support officer,3,KIND_861
wellbeing advisor,1,KIND_862
workforce analyst,1,KIND_863
workforce development officer,1,KIND_864
workforce information and development manager,4,KIND_865
workforce information and systems analyst,11,KIND_866
workforce intelligence,2,KIND_867
workforce intelligence assistant,3,KIND_868
workforce intelligence manager,6,KIND_869
workforce planning advisor,1,KIND_870
workforce planning manager,3,KIND_871
workforce service manager,1,KIND_872
workforce system specialist,2,KIND_873
workforce systems & information analyst,3,KIND_874
workforce systems and data lead,2,KIND_875
workforce systems and information analyst,1,KIND_876
workforce systems assistant,2,KIND_877
workforce systems manager,5,KIND_878
workforce systems officer,2,KIND_879
